                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0199,                 1.3888,                 1.1282,                0.71357,                0.80908,                0.83491,                0.55247,                 1.0133,                   1.51,                 1.3766,               0.007492,               0.007492,               0.007492
                     78,                0.96166,                 1.3572,                 1.1459,                0.62338,                0.81667,                0.79716,                0.55204,                 1.0003,                 1.5212,                 1.3342,               0.007459,               0.007459,               0.007459
                     79,                0.96592,                 1.3892,                 1.1115,                0.81605,                0.77893,                0.82485,                 0.5826,                0.94217,                 1.4092,                  1.318,               0.007426,               0.007426,               0.007426
                     80,                 0.9708,                 1.4143,                 1.1357,                0.74959,                0.69798,                0.79185,                0.54369,                0.93419,                  1.666,                 1.3553,               0.007393,               0.007393,               0.007393
                     81,                 1.0015,                 1.4408,                 1.1686,                0.58487,                0.77982,                0.75062,                0.52348,                0.94505,                 1.8994,                 1.3762,                0.00736,                0.00736,                0.00736
                     82,                 1.0354,                 1.4465,                 1.1788,                0.85071,                0.75132,                0.91985,                0.61395,                 1.0303,                 1.4483,                 1.4493,               0.007327,               0.007327,               0.007327
                     83,                0.97069,                 1.3186,                 1.1673,                 0.6815,                0.84839,                0.83947,                0.60313,                 1.0256,                 1.4951,                  1.422,               0.007294,               0.007294,               0.007294
                     84,                0.98481,                 1.2647,                 1.1296,                0.81119,                0.75551,                0.84596,                0.58753,                 1.0083,                 1.6021,                 1.4363,               0.007261,               0.007261,               0.007261
                     85,                0.98263,                 1.2982,                 1.1621,                0.85343,                0.66532,                0.87427,                0.62152,                0.97001,                 1.6626,                 1.3808,               0.007228,               0.007228,               0.007228
                     86,                0.97159,                 1.3111,                 1.1284,                0.75238,                0.84979,                0.86533,                0.59905,                 1.0672,                 1.6806,                 1.4783,               0.007195,               0.007195,               0.007195
                     87,                0.95237,                   1.31,                 1.1311,                0.73926,                0.81646,                0.84599,                0.58142,                 1.0514,                 1.5926,                 1.5071,               0.007162,               0.007162,               0.007162
                     88,                0.95761,                 1.2688,                 1.1554,                0.77193,                0.76786,                0.80161,                0.54052,                 1.0811,                 1.6573,                 1.5395,               0.007129,               0.007129,               0.007129
                     89,                0.95463,                 1.2685,                 1.1219,                0.60926,                0.79333,                0.77399,                0.55627,                0.99733,                 1.7527,                 1.4388,               0.007096,               0.007096,               0.007096
                     90,                0.98129,                 1.3371,                 1.1429,                0.71001,                0.83043,                0.85794,                0.62934,                0.99317,                 1.6736,                 1.4194,               0.007063,               0.007063,               0.007063
                     91,                0.97686,                 1.3351,                 1.1274,                0.84063,                0.79624,                0.90952,                 0.6603,                 1.0529,                 1.4793,                 1.4782,                0.00703,                0.00703,                0.00703
                     92,                0.95243,                 1.2809,                 1.1351,                0.91858,                0.78792,                 0.9124,                 0.6242,                 1.0212,                 1.4426,                 1.4796,               0.006997,               0.006997,               0.006997
                     93,                0.92018,                 1.2178,                 1.1235,                0.89703,                0.78998,                0.92136,                0.66324,                0.94013,                 1.4317,                 1.4663,               0.006964,               0.006964,               0.006964
                     94,                 0.9293,                 1.2979,                 1.1199,                0.86638,                0.71092,                 0.8999,                0.63399,                   0.98,                 1.4055,                 1.4478,               0.006931,               0.006931,               0.006931
                     95,                0.92948,                   1.23,                 1.1227,                0.67736,                0.69208,                0.77841,                0.55129,                0.95032,                 1.8194,                 1.4534,               0.006898,               0.006898,               0.006898
